session_id,difficulty,fun,feedback
6967cec01a8130b7b28a9dd8,too easy,typical,
6967cec412691c6823aca480,just right,typical,
6967cec67cc88b4be7213e8b,just right,better than average,
6967cec5d346f172ad3a6a2e,just right,typical,
6967cec6c4110ac20c9e8cd5,too easy,typical,Nope.
6967cec94d1f3ae41d7bf3f9,just right,typical,
6967cec9beff62257dc1cf80,just right,better than average,
6967ceca25adf0149041c6ba,just right,better than average,
6967cecad2b6094bc09f225d,just right,better than average,
6967cecbab82a66688124cad,just right,better than average,
6967cecde11db386bbdf8ed0,just right,better than average,
6967cece20f32d6e08cc51ed,just right,better than average,none
6967ced0631c7ece6f7e104f,just right,better than average,no
6967ced0633131d7c697a628,just right,better than average,
6967ced138ad117d5517d271,too easy,better than average,
6967ced2f708d0738b5a150d,just right,better than average,
6967ced2c44c0129b4b97d1b,just right,typical,No
6967ced355b0358582d4610c,just right,better than average,
6967ced3f28342c01ccb8caf,just right,better than average,
6967ced4168e66254bf04ab5,just right,typical,
6967ced552c2af3819ad115b,just right,typical,none
6967ced625f472da8d780359,just right,better than average,
6967ced6880d2e0f8a7c335e,too easy,typical,none
6967ceded1ab6fa2b9877df2,just right,better than average,
6967cee04744e9efbeffb561,just right,typical,
6967cee1983dc27b0a7051e4,too easy,better than average,
6967cee2d80c7e922cf3c605,just right,better than average,
6967cee67db28d0dcb7d1504,just right,typical,
6967cee7c44c0129b4b97d1e,just right,typical,
6967ceee971c5816704dbc77,just right,typical,no comment
6967cf0674a4aeb174a2634f,too easy,better than average,n/a thank you. 
6967cf0831111dd91dee3318,too hard,typical,
6967cf0e22b487009f059f6e,too easy,better than average,
6967cf0afb496dd44c2c888e,just right,typical,
6967cf1275fafa4176cc5017,just right,better than average,
6967cf13d468048339f48d1e,too easy,better than average,
6967cf14aa3f80644783fbb0,just right,better than average,Thank you! I really liked this game.
6967cf1833ba9cb376684240,just right,typical,
6967cf1a71ebb500f05f8458,just right,better than average,
6967cf2ff235064a725fe0e8,just right,better than average,"That was fun, thank you."
6967cf34e878b598b744bb2a,just right,better than average,
6967cf3a5b08322340a23bbf,just right,better than average,
6967cf505b4dfb34da81f6d8,just right,typical,
6967cf53c9f18875f7ad5553,too easy,better than average,
6967cf54a5f702364fd860f7,just right,typical,
6967cf576221b079837c305c,just right,typical,
6967cf5a22c6e720504f568f,too easy,worse than average,Bit dull!
6967cf64681416973f55c405,too easy,typical,
6967cf6b128ad9462c046b46,too easy,typical,n/a
6967cf9231111dd91dee3322,just right,better than average,No
6967cfbd56a41dcc8fe171a6,just right,typical,
6967cfc3bf7ee70d5372237f,too easy,better than average,
6967cfc409a5199ec42b5c98,just right,better than average,No additional feedback
6967cfc686b825570c333642,too easy,better than average,
6967cfc97d540393166c63c6,just right,typical,
6967cfca74060f81b301faac,just right,better than average,
6967cfca7b52b174b8563561,just right,better than average,
6967cfcb82f954b2f01f6e78,just right,better than average,
6967d012062de9b9d37539e2,too easy,better than average,
6967cff29e6e4bca83d0c252,too easy,,no
6967d035983dc27b0a705204,just right,better than average,
6967d040024ce3ff828f8a69,just right,typical,
6967d03e6f67c8652d1437ab,too easy,better than average,"No, it was fun!"
6967d03e60c60c25c61a306b,just right,typical,no 
6967d04374a4aeb174a26370,just right,better than average,
6967d068da8d43272a680844,just right,better than average,No
6967d0bbd3688f29d7cd36ae,just right,better than average,
6967d0c0180503b0ed7f2717,just right,better than average,
6967d0c07a08c6075b02131a,just right,typical,
6967d0eaff8a5b1015efd056,just right,better than average,none thank you
6967d130acc71cc8704f57e4,too easy,typical,
6967d144180503b0ed7f2752,just right,typical,
6967d13c5760bcc7d3359f30,just right,typical,none
6967d17758a0340f71b39aae,just right,typical,
6967d1b09892674272415695,too easy,typical,
6967d2247aaf5eda95d5ae2c,just right,better than average,
6967d310baef555477cb9dde,just right,better than average,
6967d227e3bce1abfe227d89,just right,typical,
6967d3a834ff003365c4c99e,just right,better than average,
6967d3b45b60c5059b359c5d,too easy,typical,
6967d3fc239903ac50483d0d,just right,better than average,
6967d47c94b3b86ad87c3535,too easy,better than average,
6967d429d9fd08db8de8e5a4,too easy,typical,No. 
6967d56e427af4eaf2e03177,just right,typical,
6967d4f976937c9d38c4ce2b,just right,typical,
6967d5ec2d962679eb32a42b,just right,better than average,
6967d5aaeb5a063e56d4527a,just right,better than average,Thank you so much for having me. That was such a fun study. I had a blast
6967d5edda8d43272a6808c8,just right,better than average,
6967d6585cb43bfed9955bc1,just right,better than average,
6967d62c1047b60680e19c2e,just right,typical,
6967d6611ce574c431dce1e2,just right,better than average,
6967d6908b1ca0ec1bc5984b,just right,better than average,no
6967d8483640191092dd6a55,too easy,typical,
6967d6b54431c6485de53ed1,just right,better than average,interesting and fun
6967d74c326e7f36781ca039,just right,better than average,
6967d756480905ec1f3fc755,too easy,typical,
6967dba174060f81b301fbc7,too easy,better than average,none
6967e6fc9a296c2fdf5eef94,just right,better than average,
6967dbd5f099d55d33985c8e,too easy,better than average,I have no other thing to add but it was fun
6967dfd6b99358b3fa849283,just right,better than average,